Pclass,Age,SibSp,Parch,Fare,IsMale,EmbarkedC,EmbarkedQ,EmbarkedS,Survived
3,22,1,0,7.25,1,0,0,1,0
1,38,1,0,71.283,0,1,0,0,1
3,26,0,0,7.925,0,0,0,1,1
1,35,1,0,53.1,0,0,0,1,1
3,35,0,0,8.05,1,0,0,1,0
3,30.626,0,0,8.458,1,0,1,0,0
1,54,0,0,51.862,1,0,0,1,0
3,2,3,1,21.075,1,0,0,1,0
3,27,0,2,11.133,0,0,0,1,1
2,14,1,0,30.071,0,1,0,0,1
3,4,1,1,16.7,0,0,0,1,1
1,58,0,0,26.55,0,0,0,1,1
3,20,0,0,8.05,1,0,0,1,0
3,39,1,5,31.275,1,0,0,1,0
3,14,0,0,7.854,0,0,0,1,0
2,55,0,0,16,0,0,0,1,1
3,2,4,1,29.125,1,0,1,0,0
2,28.344,0,0,13,1,0,0,1,1
3,31,1,0,18,0,0,0,1,0
3,28.344,0,0,7.225,0,1,0,0,1
2,35,0,0,26,1,0,0,1,0
2,34,0,0,13,1,0,0,1,1
3,15,0,0,8.029,0,0,1,0,1
1,28,0,0,35.5,1,0,0,1,1
3,8,3,1,21.075,0,0,0,1,0
3,38,1,5,31.387,0,0,0,1,1
3,30.626,0,0,7.225,1,1,0,0,0
1,19,3,2,263,1,0,0,1,0
3,28.344,0,0,7.879,0,0,1,0,1
3,30.626,0,0,7.896,1,0,0,1,0
1,40,0,0,27.721,1,1,0,0,0
1,28.344,1,0,146.521,0,1,0,0,1
3,28.344,0,0,7.75,0,0,1,0,1
2,66,0,0,10.5,1,0,0,1,0
1,28,1,0,82.171,1,1,0,0,0
1,42,1,0,52,1,0,0,1,0
3,28.344,0,0,7.229,1,1,0,0,1
3,21,0,0,8.05,1,0,0,1,0
3,18,2,0,18,0,0,0,1,0
3,14,1,0,11.242,0,1,0,0,1
3,40,1,0,9.475,0,0,0,1,0
2,27,1,0,21,0,0,0,1,0
3,30.626,0,0,7.896,1,1,0,0,0
2,3,1,2,41.579,0,1,0,0,1
3,19,0,0,7.879,0,0,1,0,1
3,30.626,0,0,8.05,1,0,0,1,0
3,30.626,1,0,15.5,1,0,1,0,0
3,28.344,0,0,7.75,0,0,1,0,1
3,30.626,2,0,21.679,1,1,0,0,0
3,18,1,0,17.8,0,0,0,1,0
3,7,4,1,39.688,1,0,0,1,0
3,21,0,0,7.8,1,0,0,1,0
1,49,1,0,76.729,0,1,0,0,1
2,29,1,0,26,0,0,0,1,1
1,65,0,1,61.979,1,1,0,0,0
1,28.344,0,0,35.5,1,0,0,1,1
2,21,0,0,10.5,0,0,0,1,1
3,28.5,0,0,7.229,1,1,0,0,0
2,5,1,2,27.75,0,0,0,1,1
3,11,5,2,46.9,1,0,0,1,0
3,22,0,0,7.229,1,1,0,0,0
1,38,0,0,80,0,0,0,0,1
1,45,1,0,83.475,1,0,0,1,0
3,4,3,2,27.9,1,0,0,1,0
1,30.626,0,0,27.721,1,1,0,0,0
3,28.344,1,1,15.246,1,1,0,0,1
2,29,0,0,10.5,0,0,0,1,1
3,19,0,0,8.158,1,0,0,1,0
3,17,4,2,7.925,0,0,0,1,1
3,26,2,0,8.662,1,0,0,1,0
2,32,0,0,10.5,1,0,0,1,0
3,16,5,2,46.9,0,0,0,1,0
2,21,0,0,73.5,1,0,0,1,0
3,26,1,0,14.454,1,1,0,0,0
3,32,0,0,56.496,1,0,0,1,1
3,25,0,0,7.65,1,0,0,1,0
3,30.626,0,0,7.896,1,0,0,1,0
3,30.626,0,0,8.05,1,0,0,1,0
2,0.83,0,2,29,1,0,0,1,1
3,30,0,0,12.475,0,0,0,1,1
3,22,0,0,9,1,0,0,1,0
3,29,0,0,9.5,1,0,0,1,1
3,28.344,0,0,7.787,0,0,1,0,1
1,28,0,0,47.1,1,0,0,1,0
2,17,0,0,10.5,0,0,0,1,1
3,33,3,0,15.85,0,0,0,1,1
3,16,1,3,34.375,1,0,0,1,0
3,30.626,0,0,8.05,1,0,0,1,0
1,23,3,2,263,0,0,0,1,1
3,24,0,0,8.05,1,0,0,1,0
3,29,0,0,8.05,1,0,0,1,0
3,20,0,0,7.854,1,0,0,1,0
1,46,1,0,61.175,1,0,0,1,0
3,26,1,2,20.575,1,0,0,1,0
3,59,0,0,7.25,1,0,0,1,0
3,30.626,0,0,8.05,1,0,0,1,0
1,71,0,0,34.654,1,1,0,0,0
1,23,0,1,63.358,1,1,0,0,1
2,34,0,1,23,0,0,0,1,1
2,34,1,0,26,1,0,0,1,0
3,28,0,0,7.896,0,0,0,1,0
3,30.626,0,0,7.896,1,0,0,1,0
1,21,0,1,77.287,1,0,0,1,0
3,33,0,0,8.654,1,0,0,1,0
3,37,2,0,7.925,1,0,0,1,0
3,28,0,0,7.896,1,0,0,1,0
